,???,????? ,?????,?????,?? ,??????,????? 
18-14R2CP73,1404,18-14,18,4,R2,CP73,23.59
18-15R5CP69,1404,18-15,18,4,R5,CP69,22.28
18-16R1CP69,1404,18-16,18,4,R1,CP69,22.12
18-17R5CP69,1404,18-17,18,4,R5,CP69,22.87
18-18R2CP69,1404,18-18,18,4,R2,CP69,22.42
18-19R1CP73,1404,18-19,18,4,R1,CP73,23.81
18-21R1CP69,1404,18-21,18,4,R1,CP69,23.35
18-23R1CP69,1404,18-23,18,4,R1,CP69,23.5
18-24PCP69,1404,18-24,18,4,P,CP69,23.39
18-25R1CP69,1404,18-25,18,4,R1,CP69,23.63
18-26PIRC99-07,1404,18-26,18,4,P,IRC99-07,23.5
18-27R1CP69,1404,18-27,18,4,R1,CP69,12.46
18-28R2CP69,1404,18-28,18,4,R2,CP69,22.59
19-01R2CP69,1404,19-01,19,3,R2,CP69,24.18
19-03R4CP69,1404,19-03,19,3,R4,CP69,17.31
19-03R1CP69,1404,19-03,19,3,R1,CP69,5.76
19-04R5CP69,1404,19-04,19,3,R5,CP69,23.43
19-05R1CP48,1404,19-05,19,3,R1,CP48,23.38
19-06R2CP48,1404,19-06,19,3,R2,CP48,23.54
19-07R1CP48,1404,19-07,19,3,R1,CP48,23.65
19-08R2CP48,1404,19-08,19,3,R2,CP48,23.24
19-09R4CP69,1404,19-09,19,3,R4,CP69,18.43
19-09R5CP69,1404,19-09,19,3,R5,CP69,4.83
19-10R2CP73,1404,19-10,19,3,R2,CP73,23.49
19-11R4CP69,1404,19-11,19,3,R4,CP69,17.58
19-11R5CP69,1404,19-11,19,3,R5,CP69,6.03
19-12R2CP73,1404,19-12,19,3,R2,CP73,23.05
19-13PCP73,1404,19-13,19,3,P,CP73,23.54
19-15R1CP69,1404,19-15,19,3,R1,CP69,23.17
19-17R2CP69,1404,19-17,19,3,R2,CP69,22.91
19-18R5CP73,1404,19-18,19,3,R5,CP73,22.54
19-19R1CP73,1404,19-19,19,3,R1,CP73,23.73
19-20R1CP69,1404,19-20,19,3,R1,CP69,16.94
19-21R1CP69,1404,19-21,19,3,R1,CP69,12.75
19-21R1CP70,1404,19-21,19,3,R1,CP70,10.16
19-22PCP69,1404,19-22,19,3,P,CP69,12.47
19-23R4CP73,1404,19-23,19,3,R4,CP73,23.61
19-24R4CP69,1404,19-24,19,3,R4,CP69,8.47
19-24R5CP73,1404,19-24,19,3,R5,CP73,4.75
19-25R4CP69,1404,19-25,19,3,R4,CP69,23.05
19-26R4CP69,1404,19-26,19,3,R4,CP69,12.02
19-26R5CP73,1404,19-26,19,3,R5,CP73,2.45
19-27R4CP69,1404,19-27,19,3,R4,CP69,10.75
20-02R1CP48,1404,20-02,20,4,R1,CP48,23.98
20-03PCP48,1404,20-03,20,4,P,CP48,23.46
20-04R1CP48,1404,20-04,20,4,R1,CP48,23.71
20-05PCP48,1404,20-05,20,4,P,CP48,23.88
20-06R1CP48,1404,20-06,20,4,R1,CP48,23.62
20-07R5CP69,1404,20-07,20,4,R5,CP69,23.35
20-08R1CP57,1404,20-08,20,4,R1,CP57,23.53
20-09R1CP73,1404,20-09,20,4,R1,CP73,22.3
20-10R2CP73,1404,20-10,20,4,R2,CP73,23.65
20-11R1CP73,1404,20-11,20,4,R1,CP73,18.66
20-12R2CP73,1404,20-12,20,4,R2,CP73,23.7
20-13PCP73,1404,20-13,20,4,P,CP73,16.22
20-14R2CP69,1404,20-14,20,4,R2,CP69,23.58
20-15R5CP69,1404,20-15,20,4,R5,CP69,12.96
20-16R5CP69,1404,20-16,20,4,R5,CP69,22.2
20-17R5CP69,1404,20-17,20,4,R5,CP69,11
20-20R2CP69,1404,20-20,20,4,R2,CP69,23.4
20-21PCP69,1404,20-21,20,4,P,CP69,7.41
20-22R2CP69,1404,20-22,20,4,R2,CP69,23.58
20-23PCP69,1404,20-23,20,4,P,CP69,6.2
20-24R1CP69,1404,20-24,20,4,R1,CP69,23.59
20-26PCP69,1404,20-26,20,4,P,CP69,23.56
20-28R3CP69,1404,20-28,20,4,R3,CP69,23.71
21-01R2CP69,1404,21-01,21,3,R2,CP69,24.12
21-03R2CP69,1404,21-03,21,3,R2,CP69,25.33
21-05R1CP48,1404,21-05,21,3,R1,CP48,21.95
21-06R1CP48,1404,21-06,21,3,R1,CP48,23.32
21-07R2CP48,1404,21-07,21,3,R2,CP48,23.78
21-08R1CP48,1404,21-08,21,3,R1,CP48,24.42
21-09R2CP73,1404,21-09,21,3,R2,CP73,22.93
21-10R2CP73,1404,21-10,21,3,R2,CP73,22.61
21-11R4CP69,1404,21-11,21,3,R4,CP69,14.82
21-11R5CP69,1404,21-11,21,3,R5,CP69,8.42
21-12R4CP69,1404,21-12,21,3,R4,CP69,21.91
21-12R1CP69,1404,21-12,21,3,R1,CP69,1.09
21-13R2CP73,1404,21-13,21,3,R2,CP73,23.71
21-14R2CP73,1404,21-14,21,3,R2,CP73,23.49
21-15R4CP69,1404,21-15,21,3,R4,CP69,23.01
21-16R1CP69,1404,21-16,21,3,R1,CP69,19.62
21-17R4CP69,1404,21-17,21,3,R4,CP69,11.79
22-01R1CP69,1404,22-01,22,4,R1,CP69,7.78
22-03R1CP69,1404,22-03,22,4,R1,CP69,16.62
22-05R1CP69,1404,22-05,22,4,R1,CP69,15.46
22-07R1CP69,1404,22-07,22,4,R1,CP69,13.08
22-17PCP65,1404,22-17,22,4,P,CP65,7.86
22-19PCP65,1404,22-19,22,4,P,CP65,6.99
22-21PCP69,1404,22-21,22,4,P,CP69,7.83
23-03PCP69,1404,23-03,23,3,P,CP69,15.52
23-07PCP69,1404,23-07,23,3,P,CP69,22.49
23-11R5CP69,1404,23-11,23,3,R5,CP69,22.16
23-13R2CP69,1404,23-13,23,3,R2,CP69,11.78
23-15R2CP69,1404,23-15,23,3,R2,CP69,2.92
24-01PCP69,1404,24-01,24,4,P,CP69,26.71
24-02PCP69,1404,24-02,24,4,P,CP69,20.38
24-03PCP69,1404,24-03,24,4,P,CP69,27.38
24-04PCP69,1404,24-04,24,4,P,CP69,18.89
24-05PCP69,1404,24-05,24,4,P,CP69,26.93
24-06PCP69,1404,24-06,24,4,P,CP69,19.71
24-07R3CP69,1404,24-07,24,4,R3,CP69,18.21
24-07R5CP69,1404,24-07,24,4,R5,CP69,8.24
24-08R1CP69,1404,24-08,24,4,R1,CP69,21.62
24-10R1CP69,1404,24-10,24,4,R1,CP69,23.55
24-11R3CP69,1404,24-11,24,4,R3,CP69,24.39
24-11R5CP69,1404,24-11,24,4,R5,CP69,2.88
24-12R1CP69,1404,24-12,24,4,R1,CP69,24.65
24-13R3CP69,1404,24-13,24,4,R3,CP69,20.81
24-13R5CP69,1404,24-13,24,4,R5,CP69,6.24
24-14PCP69,1404,24-14,24,4,P,CP69,24.72
24-15R2CP69,1404,24-15,24,4,R2,CP69,27.04
24-21R1CP69,1404,24-21,24,4,R1,CP69,22.2
25-01R1CP69,1404,25-01,25,3,R1,CP69,4.13
25-03R1CP69,1404,25-03,25,3,R1,CP69,13.23
25-05PCP69,1404,25-05,25,3,P,CP69,21.83
25-07R4CP69,1404,25-07,25,3,R4,CP69,22.89
25-09R3CP69,1404,25-09,25,3,R3,CP69,26.03
25-13PCP69,1404,25-13,25,3,P,CP69,30.52
26-01PCP69,1404,26-01,26,4,P,CP69,16.33
26-02R1CP69,1404,26-02,26,4,R1,CP69,24.11
26-04PCP69,1404,26-04,26,4,P,CP69,24.85
26-06PCP69,1404,26-06,26,4,P,CP69,24.54
26-08PCP69,1404,26-08,26,4,P,CP69,24.66
26-09R2CP69,1404,26-09,26,4,R2,CP69,17.27
26-10PCP69,1404,26-10,26,4,P,CP69,24.68
26-11R2CP69,1404,26-11,26,4,R2,CP69,17.07
26-12PCP69,1404,26-12,26,4,P,CP69,24.89
26-13R2CP69,1404,26-13,26,4,R2,CP69,16.98
26-14R5CP69,1404,26-14,26,4,R5,CP69,24.5
26-15PCP69,1404,26-15,26,4,P,CP69,16.74
26-17PCP69,1404,26-17,26,4,P,CP69,16.8
